,x
2318,0.93
2319,0.98
2320,0.98
2321,0.99
2322,0.94
2323,0.86
2324,0.95
2325,0.98
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,0.99
2336,0.98
2337,0.86
2338,0.96
2339,0.99
2340,1
2341,0.89
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,0.99
2349,1
2350,1
2351,0.98
2352,1
2353,-0.96
2354,-0.97
2355,-0.95
2356,0.4
2357,0.21
2358,0.77
2359,0.59
2360,0.73
2361,-0.04
2362,0.9
2363,0.82
2364,0.72
2365,0.94
2366,0.99
2367,1
2368,1
2369,1
2370,1
2371,0.1
2372,-0.1
2373,-0.12
2374,0.99
2375,0.97
2376,1
2377,1
2378,1
2379,0.97
2380,0.99
2381,0.99
2382,0.99
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,0.99
2390,1
2391,1
2392,0.99
2393,0.98
2394,0.93
2395,0.99
2396,0.99
2397,0.99
2398,0.95
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,0.99
2406,1
2407,1
2408,0.99
2409,1
2410,-1
2411,-1
2412,0.09
2413,0.39
2414,0.47
2415,0.8
2416,0.9
2417,0.13
2418,0.83
2419,0.07
2420,0.09
2421,0.99
2422,1
2423,1
2424,1
2425,1
2426,1
2427,0.87
2428,0.95
2429,0.65
2430,0.99
2431,0.97
2432,0.98
2433,0.98
2434,0.99
2435,0.94
2436,0.99
2437,0.99
2438,0.99
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,0.99
2449,0.98
2450,0.96
2451,0.99
2452,0.98
2453,1
2454,0.99
2455,1
2456,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,-1
2467,0.12
2468,0.33
2469,0.14
2470,0.88
2471,0.86
2472,-0.04
2473,0.58
2474,-0.29
