,x
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,0.98
2153,0.99
2154,0.99
2155,0.98
2156,0.99
2157,0.97
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,0.99
2165,1
2166,1
2167,0.96
2168,1
2169,0.67
2170,0.98
2171,0.98
2172,0.94
2173,1
2174,1
2175,0.96
2176,-0.48
2177,0.03
2178,-0.47
2179,0.1
2180,-0.19
2181,-0.04
2182,0.99
2183,1
2184,0.97
2185,0.99
2186,1
2187,1
2188,1
2189,1
2190,1
2191,0.97
2192,0.94
2193,0.86
2194,0.36
2195,0.69
2196,0.8
2197,0.16
2198,0.63
2199,0.96
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,0.99
2213,1
2214,1
2215,1
2216,1
2217,0.98
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,0.99
2228,1
2229,0.37
2230,0.99
2231,1
2232,0.99
2233,1
2234,1
2235,0.99
2236,-0.53
2237,-0.98
2238,-0.24
2239,-0.44
2240,-0.35
2241,0.97
2242,1
2243,0.98
2244,0.99
2245,1
2246,1
2247,1
2248,1
2249,1
2250,0.96
2251,0.89
2252,0.83
2253,0.14
2254,0.57
2255,0.64
2256,0.4
2257,0.61
2258,0.9
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,0.99
2270,0.99
2271,0.97
2272,0.99
2273,0.99
2274,0.98
2275,0.98
2276,0.95
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,0.94
2284,1
2285,0.99
2286,0.97
2287,1
2288,0.69
2289,0.99
2290,0.99
2291,0.96
2292,1
2293,1
2294,0.97
2295,-0.43
2296,0.26
2297,-0.52
2298,0.15
2299,0.99
2300,1
2301,0.99
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,0.97
2309,0.96
2310,0.88
2311,0.43
2312,0.71
2313,0.5
2314,0.22
2315,0.74
2316,0.78
2317,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,0.99
2330,1
2331,0.99
2332,0.99
2333,0.99
2334,0.98
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,0.99
2345,1
2346,0.62
2347,0.99
2348,0.99
2349,0.97
2350,1
2351,1
2352,0.99
2353,-0.47
2354,-0.59
2355,-0.74
2356,0.97
2357,1
2358,0.97
2359,0.99
2360,1
2361,1
2362,1
2363,1
2364,1
2365,0.98
2366,0.88
2367,0.83
2368,0.26
2369,0.66
2370,0.55
2371,0.24
2372,0.59
2373,0.95
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,0.98
2384,0.98
2385,0.97
2386,0.94
2387,0.97
2388,0.95
2389,0.94
2390,0.96
2391,0.89
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,0.98
2399,1
2400,0.99
2401,0.97
2402,0.98
2403,0.69
2404,0.99
2405,0.99
2406,0.94
2407,1
2408,1
2409,0.97
2410,-0.7
2411,-0.91
2412,0.98
2413,1
2414,0.97
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,0.97
2422,0.91
2423,0.82
2424,0.49
2425,0.56
2426,0.77
2427,-0.05
2428,0.39
2429,0.94
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
