row,col,bNTI,RCbray,process,row.country,row.site,row.landuse,col.country,col.site,col.landuse,pair_scale,pair_landu
K02,K33,-2.41186660327794,0.08,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K34,-2.10747803878151,0.39,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K35,-2.0842003463,0.74,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K36,-1.97756307712442,0.2,Undominated,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K37,-2.08624867583069,0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K38,-2.09081646405627,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K39,-1.68421472226912,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K40,-1.68945066210377,0.99,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K41,-1.94270205753407,0.89,Undominated,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K42,-2.16976183040835,0.67,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K43,-1.69240462259423,0.97,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K44,-1.88009069137233,0.7,Undominated,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K45,-2.13533855527167,0.9,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K46,-2.10838850904639,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K47,-2.17515544030751,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K48,-1.96132539059851,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K49,-2.23167192891176,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K50,-2.2622038951382,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K51,-2.12137513325738,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K52,-1.68391104195831,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K53,-1.91112609224131,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
