K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species
Prok_ASV40	135	116	174	81	72	0	166	98	175	98	56	65	74	81	60	0	31	53	95	63	65	0	0	0	28	0	0	0	52	51	44	50	0	0	27	38	69	59	24	27	54	48	53	61	0	0	0	0	0	0	0	17	27	28	19	27	22	35	33	34	46	31	31	0	0	0	0	0	5	9	15	11	17	13	15	10	17	6	0	8	19	0	5	5	0	0	3	13	17	10	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	NA
Prok_ASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	26	16	41	82	62	26	20	37	0	0	0	41	29	26	57	244	93	839	518	559	27	45	43	0	0	0	61	375	251	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	146	179	0	0	0	0	207	172	254	0	0	0	0	0	0	0	41	20	39	14	0	0	98	0	0	62	0	0	0	64	31	0	36	33	43	87	41	50	107	50	78	0	0	135	69	0	0	134	0	0	36	69	9	0	65	0	0	17	77	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	NA
Prok_ASV43	0	0	0	0	0	0	0	0	0	0	0	0	0	32	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	83	34	36	36	0	0	0	0	0	0	0	0	0	35	0	0	286	183	304	187	130	217	166	0	60	16	0	18	0	0	0	0	0	0	21	42	24	30	0	48	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV44	0	0	0	0	0	0	0	0	0	0	0	28	0	26	32	0	0	0	0	0	0	0	0	0	0	0	0	80	25	79	97	0	39	0	72	0	0	0	0	0	0	0	0	0	0	31	23	13	22	7	12	16	8	0	17	45	37	19	0	9	25	25	49	37	25	67	65	53	38	48	57	56	19	14	51	25	14	39	22	46	42	72	70	93	76	78	95	64	56	94	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	NA
Prok_ASV45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	54	50	72	69	85	95	98	0	38	31	45	0	67	24	0	91	79	60	65	67	66	88	68	0	103	76	76	0	93	72	0	35	66	50	70	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Azohydromonas	NA
Prok_ASV46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	192	66	75	57	37	36	19	0	35	0	0	0	0	0	0	0	0	53	26	52	0	28	42	48	21	92	39	38	32	0	36	0	0	0	0	45	84	41	60	51	58	86	68	46	Bacteria	Actinobacteria	Actinobacteria	Frankiales	NA	NA	NA
Prok_ASV47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	14	7	6	7	10	4	4	0	5	8	2	3	5	8	5	14	6	522	198	298	44	110	144	17	26	23	20	37	15	20	26	10	10	8	13	23	47	32	8	2	12	30	16	17	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
Prok_ASV48	0	0	0	0	0	0	0	0	0	0	0	0	29	0	33	20	0	23	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	26	0	0	0	52	59	0	0	0	0	0	0	0	0	0	0	19	23	42	81	47	23	34	60	55	75	44	23	29	38	49	49	0	65	74	80	74	0	55	28	61	71	0	88	61	77	0	69	0	0	22	57	30	59	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA
Prok_ASV49	0	0	0	0	0	0	0	0	0	30	35	53	35	37	52	40	61	47	0	0	30	32	51	32	44	0	40	41	21	48	35	28	51	39	39	35	0	22	0	0	34	0	0	0	0	69	105	50	81	84	42	0	8	0	0	0	0	0	0	0	0	0	0	32	39	46	32	25	58	33	20	38	0	17	0	0	0	0	0	0	0	25	44	43	49	34	33	26	36	34	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA	NA
Prok_ASV50	0	62	0	0	22	57	84	61	30	48	60	62	70	51	0	0	58	58	0	92	0	0	65	0	56	55	63	60	71	59	116	39	63	0	40	0	0	0	14	16	25	77	35	25	0	24	0	6	12	8	15	20	28	20	25	20	0	14	14	36	21	28	16	0	10	0	0	20	23	41	22	26	29	0	28	0	20	11	0	6	7	28	28	0	19	40	36	0	18	0	Bacteria	NA	NA	NA	NA	NA	NA
Prok_ASV51	0	0	0	0	0	0	0	0	0	27	0	22	32	14	29	36	25	34	0	17	0	27	27	0	0	0	0	29	32	26	54	29	19	30	34	25	15	12	0	29	28	34	0	17	18	105	215	71	80	70	65	59	186	71	17	19	7	0	0	0	0	0	11	0	6	0	0	7	0	28	10	17	0	0	0	0	12	4	0	5	0	11	10	20	13	16	20	15	13	15	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
Prok_ASV52	0	0	0	79	0	0	133	80	94	146	115	100	70	57	85	116	84	98	43	0	69	0	0	0	0	0	0	44	25	40	66	113	46	107	86	151	23	17	22	0	31	0	27	60	0	0	0	0	0	0	0	26	23	12	21	19	21	27	27	17	7	6	11	0	0	0	0	0	0	0	7	12	9	9	16	19	21	0	0	0	2	0	0	0	0	0	0	0	5	0	Bacteria	Rokubacteria	NC10	Rokubacteriales	NA	NA	NA
Prok_ASV53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	44	43	0	95	55	92	0	0	0	0	0	0	8	8	0	46	42	36	26	33	26	54	47	45	0	16	22	23	17	18	29	28	29	41	41	76	70	37	57	108	60	72	31	63	57	33	70	31	66	99	39	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	42	49	117	55	91	53	34	36	11	21	9	15	17	0	44	18	0	125	261	125	97	104	85	78	104	127	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA
