K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species
Fung_ASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2347	2666	5947	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
Fung_ASV33	181	975	521	4796	272	1238	2152	415	201	0	0	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	NA
Fung_ASV34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	10128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	NA
Fung_ASV35	0	0	9	2230	0	410	0	0	0	173	39	80	0	39	591	497	0	127	0	47	0	0	0	0	0	0	0	0	0	3	0	1288	1127	55	2883	464	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA
Fung_ASV36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	NA	NA	NA	NA	NA	NA
Fung_ASV37	0	11	3	0	0	9	0	0	0	1916	42	1554	24	0	32	0	0	0	14	0	0	0	0	0	0	14	0	85	94	169	0	19	57	29	62	0	170	20	10	0	0	0	0	0	0	2420	415	183	19	39	46	161	232	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__xerophilus
Fung_ASV38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	74	0	13	0	19	0	0	0	0	510	77	45	482	0	283	0	40	0	0	0	0	0	0	0	0	0	0	76	0	93	452	0	0	429	250	2009	0	0	0	0	0	0	0	0	0	0	29	0	1250	44	1650	1757	0	201	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__purpureus
Fung_ASV39	0	0	127	0	0	0	43	0	0	0	18	0	0	10	40	0	52	0	188	35	0	0	0	23	51	17	0	24	0	19	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	865	959	28	0	50	329	447	101	0	0	0	0	26	0	0	0	48	711	79	146	0	0	0	624	596	1918	57	20	1862	0	0	39	0	24	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__miczynskii
Fung_ASV40	0	0	0	0	0	0	0	0	0	0	0	0	76	148	67	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	7	0	0	0	2372	5939	78	95	122	234	32	25	21	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__terreus
Fung_ASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	296	231	0	0	0	0	0	0	0	1265	772	1213	562	565	2825	124	130	355	0	91	0	0	0	0	307	256	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__restrictum
Fung_ASV42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1323	0	1516	332	0	398	775	91	723	0	0	0	0	0	0	0	0	0	0	0	0	1532	1394	1252	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	NA	NA
Fung_ASV43	0	0	0	0	16	0	0	0	0	250	90	171	70	176	108	290	345	72	118	52	145	69	202	68	192	78	223	709	161	743	490	113	570	225	394	413	210	60	116	100	24	8	0	909	29	291	63	17	81	48	28	49	132	184	0	0	0	266	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	17	27	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__wentii
Fung_ASV44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	5743	144	635	0	0	0	75	1415	322	0	0	0	0	0	0	0	0	0	k__Fungi	NA	NA	NA	NA	NA	NA
Fung_ASV45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	13	5	12	54	32	28	0	760	0	0	677	512	615	320	200	27	36	81	195	290	69	41	28	25	583	489	0	557	488	525	864	786	503	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	NA	NA
Fung_ASV46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	10	0	0	0	0	86	79	0	56	202	90	0	0	1100	182	47	147	56	101	0	0	0	137	520	0	0	0	99	1827	852	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	145	0	0	0	0	9	0	0	0	0	0	0	0	0	0	177	2069	782	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	NA
Fung_ASV47	0	0	0	0	0	0	0	0	0	0	30	91	67	284	0	0	0	15	0	0	0	51	24	0	101	0	0	51	133	0	232	421	0	809	736	0	404	72	0	0	170	0	0	32	0	421	136	19	51	81	0	207	193	242	67	0	23	0	0	0	0	13	0	61	14	49	177	211	45	101	62	43	0	0	29	0	25	0	23	32	12	213	171	114	56	696	807	139	214	366	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Parabambusicolaceae	NA	NA
