Sample	ECM	Pathotroph	Saprotroph	plant_pat_cap	animal_pat_cap	dung_saprotroph	litter_saprotroph	soil_saprotroph	wood_saprotroph
M06	0	2.22104706504495	35.1665785298784	30.5261766261237	7.28450555261766	0.0264410364886304	0.0396615547329455	28.6356425171867	1.216287678477
M07	0	1.58646218931782	36.8984664198837	22.8318350079323	15.1771549444738	0.0396615547329455	0.396615547329455	21.0735060814384	0.542041248016922
M08	0.0264410364886304	2.81597038603913	54.4024325753569	43.7599153886832	12.7313590692755	0.0528820729772607	0.76679005817028	40.9968270756214	0.978318350079323
M09	0	1.37493389740878	39.8466419883659	27.4986779481756	13.2998413537811	0.198307773664728	0.264410364886304	26.0576414595452	0.211528291909043
M10	0.0661025912215759	7.42993125330513	24.6430460074035	8.05129561078794	24.1803278688525	0.264410364886304	1.07086197778953	1.96985721840296	0.846113167636171
M11	0.0396615547329455	9.30724484399789	17.2924378635643	10.8937070333157	14.4368059227922	0	1.15018508725542	2.3532522474881	0.581702802749868
M12	0.0264410364886304	14.806980433633	13.7625594923321	15.018508725542	15.0052882072977	0.290851401374934	1.56002115282919	1.56002115282919	1.03120042305658
M13	0	22.316234796404	16.4727657324167	24.8545742993125	18.918561607615	0.674246430460074	3.97937599153887	1.12374405076679	0.35695399259651
M14	0	11.6340560549974	29.5742993125331	13.1147540983607	32.4034902168165	0.475938656795346	1.38815441565309	2.2607086197779	0.819672131147541
M15	0	16.5917503966155	16.9354838709677	17.490745637229	17.3056583818086	0.35695399259651	1.26916975145426	2.00951877313591	1.08408249603384
M16	0.0132205182443152	16.988365943945	23.5854045478583	19.1433104177684	25.925436277102	0.0528820729772607	2.16816499206769	1.16340560549974	0.264410364886304
M17	0	10.404547858276	23.8630354309889	11.0523532522475	25.8328926493919	0.370174510840825	0.912215758857747	1.15018508725542	0.264410364886304
M18	0	19.0639873083025	22.9375991538868	20.1612903225806	24.1803278688524	0.237969328397673	1.26916975145426	1.03120042305658	0.290851401374934
M19	0	3.09360126916975	45.4785827604442	16.0629296668429	30.3014278159704	0.0661025912215759	0.594923320994183	13.3262823902697	2.9613960867266
M20	0	4.57429931253305	48.281332628239	12.876784769963	30.8170280274987	0.0661025912215759	0.185087255420412	9.96827075621365	8.05129561078794
M21	0	3.00105764145954	60.3516657852988	37.2157588577472	26.4410364886304	0.0132205182443152	0.224748810153358	34.3336858804865	0.74034902168165
M22	0	8.77842411422528	21.5097831835008	21.6287678476996	5.63194077207827	0.251189846641988	1.0444209413009	13.8683236382866	3.02749867794817
M23	0	4.5346377578001	29.8783712321523	19.8968799576943	14.9524061343205	0.449497620306716	0.0925436277102062	16.02326811211	0.846113167636171
M24	0	2.12850343733474	36.6340560549974	20.7958751983078	17.8741406663141	0	0.0132205182443152	19.2622950819672	0.436277102062401
M25	0.0132205182443152	1.38815441565309	89.4500264410365	58.5272342675833	30.9888947646748	0.38339502908514	1.40137493389741	57.0333157059757	0.264410364886304
M26	0	0.502379693283977	63.7890005288207	31.795346377578	31.3590692755156	0.475938656795346	0.568482284505553	31.292966684294	0.330512956107879
M27	0	0.674246430460074	64.09307244844	34.6641988365944	28.2258064516129	1.86409307244844	0.0925436277102062	33.9899524061343	0.211528291909043
M28	0	21.5626652564781	18.3632998413538	23.1623479640402	19.381279746166	2.31359069275516	1.71866737176097	4.11158117398202	2.49867794817557
M29	0	14.9524061343205	16.4992067689053	15.309360126917	15.8249603384453	1.78476996298255	1.0444209413009	3.06716023268112	3.08038075092544
M30	0	8.28926493918562	30.4997355896351	11.9513484928609	25.6478053939714	0	0	9.16181914331042	0
M31	0	20.6107879428874	29.7593865679535	21.4701216287678	30.327868852459	0.304071919619249	1.3088313061872	5.38075092543628	0.79323109465891
M32	0	18.8656795346378	37.4669487043892	19.20941300899	38.4320465362242	0.846113167636171	0.832892649391856	4.19090428344791	2.47223691168694
M33	0	14.7012162876785	34.7964040190375	14.9524061343205	31.6367001586462	0.330512956107879	0.819672131147541	2.67054468535167	1.75832892649392
M34	0	19.8043363299841	21.1263881544157	20.888418826018	29.2041248016922	0.237969328397673	0.885774722369117	5.26176626123744	0.290851401374934
M35	0	15.3754627181386	11.7662612374405	15.9836065573771	16.1290322580645	0.0793231094658911	0.727128503437335	2.03595980962454	0.251189846641988
M36	0	37.3347435219461	19.8704389212057	38.2205182443152	37.3215230037018	0.145425700687467	1.12374405076679	4.36277102062401	2.6176626123744
